hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
1,2,leaky_relu,0.0001,512,20,0.2,0.371346091
1,4,leaky_relu,0.001,1024,20,0.2,0.371857504
2,2,leaky_relu,0.0001,512,20,0.5,0.375705921
1,4,leaky_relu,0.001,1024,20,0.1,0.376776865
2,4,leaky_relu,0.001,1024,20,0.3,0.377503364
4,4,leaky_relu,0.0001,1024,20,0.4,0.384534379
2,2,leaky_relu,0.0001,1024,20,0.4,0.385852023
2,1,leaky_relu,0.001,1024,20,0.5,0.391471375
2,2,leaky_relu,0.001,512,20,0.3,0.399187384
1,4,leaky_relu,0.0001,512,20,0.1,0.39996372
1,1,leaky_relu,0.0001,512,20,0.3,0.402468015
4,8,leaky_relu,0.0001,512,20,0.3,0.406097536
16,16,leaky_relu,0.001,512,20,0.5,0.408786548
8,8,leaky_relu,0.001,512,20,0.5,0.413042522
1,1,leaky_relu,0.001,512,20,0.3,0.414114161
1,1,leaky_relu,0.001,1024,20,0.3,0.415951611
1,1,leaky_relu,0.0001,1024,20,0.3,0.41741631
2,1,leaky_relu,0.001,512,20,0.4,0.438105639
4,8,leaky_relu,0.001,1024,20,0.3,0.442415567
8,8,leaky_relu,0.001,1024,20,0.5,0.444371431
4,4,leaky_relu,0.001,1024,20,0.4,0.445482374
1,2,leaky_relu,0.001,512,20,0.3,0.446065222
2,1,leaky_relu,0.001,1024,20,0.4,0.455778388
4,4,leaky_relu,0.001,512,20,0.4,0.456545892
2,2,leaky_relu,0.001,512,20,0.4,0.457249797
2,2,leaky_relu,0.001,1024,20,0.4,0.457928701
2,1,leaky_relu,0.0001,1024,20,0.5,0.467643495
2,1,leaky_relu,0.0001,512,20,0.5,0.467843298
4,4,leaky_relu,0.0001,512,20,0.4,0.472572839
4,8,leaky_relu,0.001,512,20,0.3,0.473037115
2,1,leaky_relu,0.001,512,20,0.5,0.475202376
2,4,leaky_relu,0.0001,1024,20,0.2,0.476615262
4,2,leaky_relu,0.0001,1024,20,0.5,0.477187299
1,1,leaky_relu,0.001,1024,20,0.2,0.477776781
1,1,leaky_relu,0.0001,512,20,0.2,0.478221402
4,2,leaky_relu,0.001,512,20,0.5,0.479002883
1,1,leaky_relu,0.001,512,20,0.2,0.48197418
4,2,leaky_relu,0.0001,512,20,0.5,0.48486214
1,2,leaky_relu,0.0001,1024,20,0.1,0.485798794
2,2,leaky_relu,0.0001,512,20,0.4,0.490435592
8,4,leaky_relu,0.0001,1024,20,0.5,0.490458303
1,1,leaky_relu,0.0001,1024,20,0.2,0.494999192
4,4,leaky_relu,0.0001,1024,20,0.3,0.49566032
1,2,leaky_relu,0.001,512,20,0.1,0.499851985
1,2,leaky_relu,0.0001,512,20,0.1,0.500146175
8,8,leaky_relu,0.0001,512,20,0.4,0.500599817
2,1,leaky_relu,0.0001,512,20,0.3,0.501575965
2,1,leaky_relu,0.0001,1024,20,0.3,0.504502005
2,2,leaky_relu,0.0001,1024,20,0.3,0.505049413
8,8,leaky_relu,0.0001,1024,20,0.4,0.506039935
2,4,leaky_relu,0.0001,512,20,0.2,0.506195329
2,4,leaky_relu,0.001,512,20,0.2,0.515195823
8,8,leaky_relu,0.001,1024,20,0.4,0.524575681
4,1,leaky_relu,0.0001,512,20,0.4,0.533983848
16,8,leaky_relu,0.001,512,20,0.5,0.540133625
8,4,leaky_relu,0.0001,512,20,0.5,0.542464514
4,8,leaky_relu,0.0001,1024,20,0.2,0.553464478
2,4,leaky_relu,0.001,1024,20,0.2,0.553544594
4,2,leaky_relu,0.001,1024,20,0.4,0.559393891
2,2,leaky_relu,0.0001,1024,20,0.2,0.559489062
2,2,leaky_relu,0.0001,512,20,0.3,0.560824717
2,1,leaky_relu,0.0001,1024,20,0.4,0.5627862
8,4,leaky_relu,0.001,512,20,0.5,0.56362511
2,1,leaky_relu,0.0001,512,20,0.4,0.564247051
2,2,leaky_relu,0.001,1024,20,0.3,0.566466196
4,2,leaky_relu,0.001,1024,20,0.5,0.574325883
4,4,leaky_relu,0.0001,512,20,0.3,0.574483172
1,1,leaky_relu,0.001,512,20,0.1,0.577393309
1,2,leaky_relu,0.001,512,20,0.2,0.577585381
2,1,leaky_relu,0.001,1024,20,0.2,0.578490536
4,2,leaky_relu,0.0001,1024,20,0.4,0.582807304
1,1,leaky_relu,0.001,1024,20,0.1,0.585952948
1,1,leaky_relu,0.0001,1024,20,0.1,0.586122096
1,1,leaky_relu,0.0001,512,20,0.1,0.586226435
8,4,leaky_relu,0.001,1024,20,0.5,0.588580804
16,8,leaky_relu,0.0001,512,20,0.5,0.589473005
8,8,leaky_relu,0.001,512,20,0.4,0.592738491
2,4,leaky_relu,0.001,512,20,0.1,0.596400924
2,4,leaky_relu,0.0001,1024,20,0.1,0.598896904
4,1,leaky_relu,0.0001,512,20,0.5,0.60152025
4,1,leaky_relu,0.001,1024,20,0.5,0.60602904
4,4,leaky_relu,0.001,512,20,0.3,0.612847275
4,1,leaky_relu,0.001,512,20,0.5,0.613285125
4,1,leaky_relu,0.0001,1024,20,0.5,0.61542214
4,2,leaky_relu,0.0001,512,20,0.4,0.619558869
2,2,leaky_relu,0.0001,1024,20,0.1,0.61970043
8,8,leaky_relu,0.0001,1024,20,0.3,0.621091826
16,8,leaky_relu,0.0001,1024,20,0.5,0.622439971
8,8,leaky_relu,0.0001,512,20,0.3,0.623327702
4,2,leaky_relu,0.001,512,20,0.4,0.630690506
8,4,leaky_relu,0.001,512,20,0.4,0.634764253
8,4,leaky_relu,0.0001,1024,20,0.4,0.634895102
4,8,leaky_relu,0.001,512,20,0.2,0.635626129
4,4,leaky_relu,0.001,1024,20,0.3,0.637426146
2,1,leaky_relu,0.001,512,20,0.3,0.648400473
4,2,leaky_relu,0.0001,1024,20,0.3,0.648815664
2,1,leaky_relu,0.001,512,20,0.1,0.654449714
2,1,leaky_relu,0.001,1024,20,0.1,0.655168671
8,4,leaky_relu,0.0001,512,20,0.4,0.657343824
2,1,leaky_relu,0.001,1024,20,0.3,0.657706831
2,2,leaky_relu,0.0001,512,20,0.2,0.659440563
16,8,leaky_relu,0.001,1024,20,0.5,0.665271081
8,2,leaky_relu,0.0001,1024,20,0.5,0.666569131
4,4,leaky_relu,0.0001,512,20,0.2,0.674223165
4,4,leaky_relu,0.0001,1024,20,0.2,0.674772478
2,2,leaky_relu,0.001,512,20,0.2,0.675328603
8,1,leaky_relu,0.0001,512,20,0.5,0.677972977
16,8,leaky_relu,0.0001,1024,20,0.4,0.679295935
4,1,leaky_relu,0.0001,1024,20,0.4,0.680575087
8,8,leaky_relu,0.001,1024,20,0.3,0.685653427
2,2,leaky_relu,0.001,1024,20,0.2,0.689364334
4,1,leaky_relu,0.001,1024,20,0.4,0.692675289
8,8,leaky_relu,0.001,512,20,0.3,0.693080513
8,4,leaky_relu,0.001,1024,20,0.4,0.693489687
8,2,leaky_relu,0.0001,512,20,0.5,0.697231759
4,1,leaky_relu,0.001,512,20,0.4,0.699812279
16,8,leaky_relu,0.0001,512,20,0.4,0.699842577
8,2,leaky_relu,0.001,1024,20,0.5,0.700509648
4,8,leaky_relu,0.0001,1024,20,0.1,0.714948265
2,4,leaky_relu,0.0001,512,20,0.1,0.716391332
16,4,leaky_relu,0.0001,1024,20,0.5,0.719645894
